"Zip","JobId","Latitude","Longitude","AverageTilt","PaymentType","GrossPrice","FederalTaxCredit","Bedroom","HomeSqFoot","HeatingType","Heating","CoolingType","Cooling","YearBuilt","EngineeringSoldkWSize","EngineeringSoldAnnualkWh","EnergyConsumption","Region","State","AHJ","RoofType","RoofSqFoot","NumMountingPlanes","NumPanels","Utility","ProductTypeAlt","PowerwallCount","UtilityCostPerKWh","OldBill","UtilityRatePlanId","UtilityInflationRate","GasRatePlanID","AverageShading","NumStories","Status","Insolation","yearly_sunlight_kwh_kw_threshold_avg","yearly_sunlight_kwh_n","yearly_sunlight_kwh_s","yearly_sunlight_kwh_e","yearly_sunlight_kwh_w","yearly_sunlight_kwh_f","yearly_sunlight_kwh_median","yearly_sunlight_kwh_total","ZIP","Avg.Age","Avg.Age.Male","Avg..Age.Female","HS.or.Below","Undergrad.or.Below","Graduate.School","Total.Homes","Avg.Value","Median.Income","Population"
1062,"JB-0102715-00",42.307885,-72.689749,31,"Loan",40313,12093.9,3,2686,"",NA,"",NA,2003,9.1,7005.7898,10907.23,"East Coast","MA","Northampton","Comp Shingle Roof",2383,3,28,"National Grid USA (Massachusetts Electric)","PV Only",NA,0.206272,239.2864,9991205,0.04,49601,0.375,"One Story",1,3.67,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,4092,40.9,35.6,43.9,0.415578394250831,0.50405687350282,0.0803647322463488,4688,"203635.3868",46303,16124
1062,"JB-0102722-00",42.3108,-72.697036,14,"PPA",39600,9244.8,4,1248,"Gas",1,"",NA,1959,7.2,7154.6862,7393,"East Coast","MA","Northampton","Comp Shingle Roof",1757,1,24,"National Grid USA (Massachusetts Electric)","PV Only",NA,0.208386,180.1813,9991205,0.04,49601,0.21,"",1,3.67,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,4092,40.9,35.6,43.9,0.415578394250831,0.50405687350282,0.0803647322463488,4688,"203635.3868",46303,16124
1098,"JB-0102723-00",42.395564,-72.935971,35,"PPA",55412.5,13389.675,4,2132,"",NA,"",NA,1800,10.075,8360.0471,8439,"East Coast","MA","Worthington Town","Comp Shingle Roof",2460,1,31,"Eversource Energy (WMECO)","PV Only",NA,0.201606,193.5778,9991213,0.04,49601,0.1125,"",0,3.67,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,4255,47.8,47.4,49.2,0.405714285714286,0.474285714285714,0.12,216,"184200.8935",44549,783
1082,"JB-0102726-00",42.234308,-72.277022,26,"Loan",57649.75,17294.925,3,2750,"",NA,"",NA,2005,11.7,11727.158,13467,"East Coast","MA","Ware Town","Comp Shingle Roof",1663,2,36,"National Grid USA (Massachusetts Electric)","PV+Storage",2,0.162062,233.6721,998504511,0.04,49601,0.215833333,"",0,3.7,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,4222,42.5,43.3,42.1,0.352198990627253,0.566330209084355,0.0814708002883922,1394,"221744.4835",74952,3378
1028,"JB-0102727-00",42.074165,-72.529283,17,"Lease",75900,17719.2,3,1400,"",NA,"",NA,1986,13.8,11897.4318,11108,"East Coast","MA","East Longmeadow","Comp Shingle Roof",1883,2,46,"National Grid USA (Massachusetts Electric)","PV Only",NA,0.194936,232.2442,9991205,0.04,49601,0.156888889,"One Story",1,3.7,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,4040,53.2,51.4,55.1,0.410585404971933,0.483159582999198,0.106255012028869,1185,"203474.1954",42035,2629
1005,"JB-0102739-00",42.426679,-72.139024,35,"Loan",12957.75,3887.325,3,1025,"",NA,"",NA,1950,2.925,3496.7997,3587,"East Coast","MA","Barre","Comp Shingle Roof",2049,1,9,"National Grid USA (Massachusetts Electric)","PV Only",NA,0.219422,117.3874,9991205,0.04,49601,0.067777778,"",0,3.7,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,4001,47,46.4,49,0.365095805282237,0.59658208182289,0.0383221128948731,888,"214985.4403",51227,2138
1002,"JB-0102740-00",42.366931,-72.522468,36,"Loan",49011.25,14703.375,5,2580,"Gas / Other",1,"Wall",1,1915,9.75,7330.6948,11071,"East Coast","MA","Amherst","Comp Shingle Roof",2221,2,30,"Eversource Energy (WMECO)","PV+Storage",1,0.206072,241.9167,9991213,0.04,49601,0.103333333,"",0,3.7,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,3909,51.1,51.6,50.7,0.216159770264978,0.585171648609842,0.198668581125179,3568,"344158.7393",61753,10093
1056,"JB-0102741-00",42.184051,-72.416929,31,"Loan",56496,16948.8,3,2200,"Oil / Wood / Pellet",1,"Central",1,1988,13.2,12630.1825,13843,"East Coast","MA","Ludlow","Comp Shingle Roof",3004,2,44,"Eversource Energy (WMECO)","PV Only",NA,0.205831,289.2412,9991213,0.04,49601,0.067727273,"",1,3.7,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,4085,42.6,40.5,45.2,0.455223880597015,0.46044776119403,0.0843283582089552,672,"208716.0305",55429,1530
1027,"JB-0102751-00",42.26231,-72.68113,24,"Loan",41872.75,12561.825,4,2183,"",NA,"",NA,1900,7.8,7348.5437,8986,"East Coast","MA","Easthampton","Comp Shingle Roof",2329,2,24,"Eversource Energy (WMECO)","PV+Storage",1,0.20768,207.3161,9991213,0.04,49601,0.12,"",1,3.67,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,4039,37.5,37.1,38.3,0.365881677197013,0.540876890675857,0.09324143212713,2175,"223350.0862",67751,6428
1073,"JB-0102753-00",42.255245,-72.719812,26,"Lease",31350,7318.8,3,1900,"",NA,"",NA,2008,5.7,6114.5096,5966,"East Coast","MA","Southampton","Comp Shingle Roof",3762,1,19,"Eversource Energy (WMECO)","PV Only",NA,0.208141,155.2792,9991213,0.04,49601,0.07,"",1,3.67,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31,4108,54.7,53.4,56.1,0.148793565683646,0.508042895442359,0.343163538873995,391,"322627.4143",58429,843
